# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-09-30;1.2930;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-10-31;1.2993;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-11-30;1.2986;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2012-12-31;1.3194;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-01-31;1.3550;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-02-28;1.3129;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-03-31;1.2805;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-04-30;1.3072;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-05-31;1.3006;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-06-30;1.3080;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-07-31;1.3275;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-08-31;1.3235;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-09-30;1.3505;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-10-31;1.3641;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-11-30;1.3611;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2013-12-31;1.3791;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-01-31;1.3516;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-02-28;1.3813;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-03-31;1.3788;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-04-30;1.3850;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-05-31;1.3607;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-06-30;1.3658;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-07-31;1.3379;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-08-31;1.3188;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-09-30;1.2583;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-10-31;1.2524;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-11-30;1.2483;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2014-12-31;1.2141;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-01-31;1.1305;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-02-28;1.1240;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-03-31;1.0759;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-04-30;1.1215;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-05-31;1.0970;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-06-30;1.1189;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-07-31;1.0967;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-08-31;1.1215;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-09-30;1.1203;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-10-31;1.1017;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-11-30;1.0579;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2015-12-31;1.0887;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-01-31;1.0920;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-02-29;1.0888;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-03-31;1.1385;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-04-30;1.1403;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-05-31;1.1154;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-06-30;1.1102;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-07-31;1.1113;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-08-31;1.1132;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-09-30;1.1161;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-10-31;1.0946;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-11-30;1.0635;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2016-12-31;1.0541;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-01-31;1.0755;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-02-28;1.0597;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-03-31;1.0691;
